model,trainable para,non-trainable para,total para
VGG16_Base,119566341,14714688,134281029
VGG16_PCA,1584959,14714688,16299647
DenseNet169_Base,350777349,12642880,363420229
DenseNet169_PCA,5059515,12642880,17702395
InceptionV3_Base,226521093,21802784,248323877
InceptionV3_PCA,3230015,21802784,25032799
MobileNetV2_Base,273707013,2257984,275964997
MobileNetV2_PCA,3955775,2257984,6213759
NASNetMobile_Base,228749317,4269716,233019033
NASNetMobile_PCA,3160604,4269716,7430320
ResNet152_Base,427847685,58370944,486218629
ResNet152_PCA,301118,58370944,58672062
Xception_Base,427847685,20861480,448709165
Xception_PCA,6326591,20861480,27188071