model,training time,epochs
ShallowNet_Base,1156.5494,50
ShallowNet_Var1,1034.38,50
ShallowNet_Var2,1057.1211,50
ShallowNet_Var3,1006.4039,50
DenseNet169_Base,1120.516,50
DenseNet169_PCA,1137.1118,50
InceptionV3_Base,1144.0655,50
InceptionV3_PCA,1145.9865,50
MobileNetV2_Base,1165.7659,50
MobileNetV2_PCA,1148.6413,50
NASNetMobile_Base,1320.8021,50
NASNetMobile_PCA,1301.1972,50
ResNet152_Base,1373.857,50
ResNet152_PCA,1327.4374,50
VGG16_Base,1055.3307,50
VGG16_PCA,1067.63,50
Xception_Base,1130.9308,50
Xception_PCA,1082.7279,50